shipment_id,t_offset_minutes,recorded_utc,temp_c,humidity_pct,device_id
SHIP-001,0,2026-09-30T04:00:00Z,5.0,48.2,TVE-4417
SHIP-001,15,2026-09-30T04:15:00Z,5.1,48.0,TVE-4417
SHIP-001,30,2026-09-30T04:30:00Z,7.0,47.1,TVE-4417
SHIP-001,45,2026-09-30T04:45:00Z,9.6,45.8,TVE-4417
SHIP-001,60,2026-09-30T05:00:00Z,11.4,44.9,TVE-4417
SHIP-001,75,2026-09-30T05:15:00Z,9.0,46.2,TVE-4417
SHIP-001,90,2026-09-30T05:30:00Z,6.8,47.4,TVE-4417
SHIP-001,105,2026-09-30T05:45:00Z,5.4,48.1,TVE-4417
SHIP-001,120,2026-09-30T06:00:00Z,5.0,48.3,TVE-4417
SHIP-002,0,2026-09-30T04:00:00Z,5.2,49.0,TVE-4418
SHIP-002,15,2026-09-30T04:15:00Z,5.1,49.2,TVE-4418
SHIP-002,30,2026-09-30T04:30:00Z,5.3,49.1,TVE-4418
SHIP-002,45,2026-09-30T04:45:00Z,5.4,48.8,TVE-4418
SHIP-002,60,2026-09-30T05:00:00Z,5.2,49.0,TVE-4418
SHIP-002,75,2026-09-30T05:15:00Z,5.0,49.3,TVE-4418
SHIP-002,90,2026-09-30T05:30:00Z,5.1,49.1,TVE-4418
SHIP-002,105,2026-09-30T05:45:00Z,5.3,48.9,TVE-4418
SHIP-002,120,2026-09-30T06:00:00Z,5.2,49.0,TVE-4418
SHIP-004,0,2026-09-30T04:00:00Z,5.0,48.4,TVE-4419
SHIP-004,15,2026-09-30T04:15:00Z,5.6,48.2,TVE-4419
SHIP-004,30,2026-09-30T04:30:00Z,6.4,47.9,TVE-4419
SHIP-004,45,2026-09-30T04:45:00Z,7.2,47.5,TVE-4419
SHIP-004,60,2026-09-30T05:00:00Z,7.9,47.2,TVE-4419
SHIP-004,75,2026-09-30T05:15:00Z,8.3,47.0,TVE-4419
SHIP-004,90,2026-09-30T05:30:00Z,8.1,47.1,TVE-4419
SHIP-004,105,2026-09-30T05:45:00Z,7.4,47.6,TVE-4419
SHIP-004,120,2026-09-30T06:00:00Z,6.9,48.0,TVE-4419
