id,section,title,value,unit,value_raw,fact_class,source_org,source_date,document,page,pdf_page,chapter,details,source_url,accessed
SJEV-STAT-001,headline_metrics,Global cost of supply chain disruption,184,USD billion/year,$184bn/yr,FACT,J.S. Held (via netsuite.com),2026-04-16,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,2,8,Ch.1 Executive Verdict; Figure 1 (p.5),Annual global cost of supply chain disruption. Also cited in the final one-page blueprint (p.55). Source index entry #3.,,
SJEV-STAT-002,headline_metrics,Manufacturers experiencing significant disruption within 12-18 months,80,percent,80%,FACT,Dataminr (vendor data),,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,2,8,Ch.1 Executive Verdict,80% of manufacturers experienced a significant disruption within 12-18 months. Source index entry #29; also repeated in Dataminr marketing concession (p.11).,,
SJEV-STAT-003,headline_metrics,Profit hit from disruption,13,percent,13%,FACT,Dataminr (vendor data),,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,2,8,Ch.1 Executive Verdict,The profit hit reached 13%. Source index entry #29.,,
SJEV-STAT-004,headline_metrics,Gartner: agentic SCM software spend forecast,under $2bn (2025) to $53bn (2030),USD,<$2bn to $53bn,FACT,Gartner press release,2026-04-07,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,2,8,Ch.1; Ch.6.2 analyst tailwind (p.17),Agentic SCM spend grows from under $2bn (2025) to $53bn (2030) - a 25x growth curve. Source index entry #1.,,
SJEV-STAT-005,headline_metrics,Gartner: enterprise adoption of agentic features,5% to 60%,percent,5% to 60%,FACT,Gartner press release,2026-04-07,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,17,23,Ch.6.2 analyst tailwind,Enterprise adoption of agentic features rises from 5% to 60%. Source index entry #1.,,
SJEV-STAT-006,headline_metrics,Gartner: agentic AI project cancellations by end-2027,40,percent (more than),over 40%,FACT,Gartner (via digitalapplied.com),2025-06,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,2,8,Ch.1; Ch.6.2 (p.17),"Over 40% of agentic AI projects will be cancelled by end-2027 - governance, not more agents, is the differentiator. Source index entry #2.",,
SJEV-STAT-007,headline_metrics,SCRM software market size and growth,$5-8bn growing 9-14% CAGR,USD / percent CAGR,$5-8bn; 9-14% CAGR,FACT,Mordor Intelligence (2026-01-23); Fortune Business Insights (2026-08); Kearney,2026,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,3,9,Ch.1 Executive Verdict,SCRM market $5-8bn growing at 9-14% CAGR - startup tailwind. Source index entry #28.,,
SJEV-CASE-001,disruption_case_studies,Red Sea crisis: Cape of Good Hope re-routing added 10-14 days transit,10-14,days added,10-14 days,FACT,Dossier case study (multiple sources),2023-2024,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,5,11,Ch.2.2 Six disruptions,"From late 2023, attacks forced container ships onto the Cape of Good Hope, adding 10-14 days of transit. Also used in persona pain points (p.37) and user needs N1 (p.38).",,
SJEV-CASE-002,disruption_case_studies,Red Sea transits fell by up to 90%,90,percent (up to),up to 90%,FACT,Dossier case study,2024,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,5,11,Ch.2.2,Red Sea transits fell by up to 90%.,,
SJEV-CASE-003,disruption_case_studies,Benchmark container freight rate spike,5481,USD per FEU,"$5,481 per FEU; +417%",FACT,FAO/OpenKnowledge reporting Drewry benchmark,2024-01,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,5,11,Ch.2.2; Figure 1,"Benchmark container freight rate hit $5,481 per FEU in the week of 23 January 2024 - a 417% spike against baseline. Source index entry #18.",,
